osm_id,osm_type,city,lat,lon,addr:block_number,addr:housenumber,addr:neighbourhood,addr:province,addr:quarter,addr:street,addr:suburb,air_conditioning,name,name:en,name:ja,name:ja-Latn,opening_hours,toilets,tourism,wikidata,wikipedia,addr:city,name:es,wikimedia_commons,phone,website,source,addr:postcode,contact:facebook,contact:twitter,name:fr,name:ko,wheelchair,description,mapillary,name:ja_kana,natural,information,name:ja_rm,attraction,fastpass,operator,website:en,alt_name,ele,public_transport,railway,name:ru,contact:tripadvisor,contact:website,fee,level,level:ref,name:ja-Hira,addr:country,addr:housename,fax,name:zh,layer,check_date,internet_access,internet_access:fee,internet_access:password,internet_access:ssid,note,note:ja,source_ref,addr:city:en,addr:province:en,addr:place,KSJ2:PubFacAdmin,name:it,alt_name:en,alt_name:ja,museum,name:eo,name:etymology,name:etymology:wikidata,start_date,KSJ2:ADS,KSJ2:AdminArea,amenity,payment:PayPay,email,contact:phone,toilets:wheelchair,charge,contact:instagram,operator:type,payment:cash,payment:credit_cards,payment:debit_cards,changing_table,official_name,alt_name:ffr,old_name,old_name:ja-Hira,old_name:ja-Latn,historic,bicycle,foot,wheelchair:description,old_name:en,old_name:ja,contact:foursquare,contact:youtube,shop,facebook,description:en,description:fr,ref,contact:website:en,official_name:en,pets,usage,direction,addr:floor,contact:fax,subject:wikidata,subject:wikipedia,fixme,was:name,loc_name:ja,heritage,waterway,short_name,short_name:en,short_name:fr,short_name:ja-Hira,short_name:ja-Latn,anime,name:signed,architect,architect:wikidata,operator:wikidata,gift,leisure,brand,brand:wikidata,official_name:fr,official_name:ja-Hira,official_name:ja-Latn,dog,reservation,smoking,artist_name,artist_name:en,artwork_type,fountain,inscription,source:artist_name,statue,name:zh-Hans,name:zh-Hant,image,man_made,historic:civilization,name:de,access,was:ref,description:es,description:ja,description:zh,panoramax,railway_car,subject,locker,alt_name:fr,brand:wikipedia,locomotive:type,zoo,charge:adult,charge:child,contact:tiktok,level_ref,stroller,brand:en,brand:ja,outdoor_seating,advertising,animated,message,sides,support,manhole,label,name:fi,currency:XBT,payment:lightning,payment:lightning_contactless,payment:onchain,check_date:charge,area,building,building:levels,building:levels:underground,heritage:operator,heritage:type,name:et,operator:wikipedia,highway,addr:county,source:ja,duration,route,height,heritage:note,name:pt,alt_name_1,alt_name_2,alt_name_3,is_in:country,is_in:country_code,is_in:iso_3166_2,is_in:province,is_in:city,wikipedia:en,official_name:es,contact:email,contact:flickr,roof:shape,building:wikidata,roof:orientation,name:etymology:wikipedia,old_name:ja_kana,old_name:ja_rm,survey:date,twitter,motor_vehicle:conditional,oneway,int_name,source:name,alt_name:ja-Hira,alt_name:ja-Latn,boundary,denomination,denomination:en,description:it,description:ja-Hira,description:ja-Latn,description:ko,description:ru,religion,building:colour,material,roof:colour,heritage:since,heritage:wikidata,owner,owner:wikidata,ship:type,roof:levels,toilets:changing_table,landuse,branch,branch:en,branch:ja,name:vi,operator:en,operator:ja,architect:ja-Latn,charge:disabled,charge:student,name:id,payment:american_express,payment:diners_club,payment:discover_card,payment:jcb,payment:mastercard,payment:suica,payment:uc_card,payment:unionpay,payment:visa,bridge,electrified,gauge,maxspeed,barrier,motor_vehicle,alt_name:zh,communication:radio,communication:television,roof:height,roof:material,tower:type,building:part,architect:wikipedia,subject:ja-Latn,place,archaeological_site,payment:id,payment:quicpay,payment:rakuten_edy,source:geometry,changing_table:location,toilets:access,toilets:disposal,toilets:position,bridge:structure,cuisine,junction,loc_name,lit,name:el,name:eu,name:fa,name:he,name:ms,name:th,surface,tunnel,indoor,museum:type,outdoor,sculpture_type,type,roundtrip,alt_name:es,tower:construction,height_ft,min_height
771412748,node,Tokyo,35.7828709,139.8971351,,,,,,,,,千葉周作修行之地,,,,,,attraction,,,,,,,,,,,,,,,,,,,board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811208933,node,Tokyo,35.6590377,139.6279406,,,,,,,,,土と農の交流園,Farming Garden for Citizen,,,,,museum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
820849494,node,Tokyo,35.6659465,139.7616202,5,3,東新橋一丁目,東京都,,,,,旧新橋停車場鉄道歴史展示室,Old Shimbashi Station Railway History Exhibition Hall,,,Tu-Su 11:00-18:00,,museum,Q104698226,,港区,Sala de exhibición histórica de la antigua estación de Shimbashi,,,,,,,,,,,,,,,,Kyū Shinbashi Teishajō Tetsudō Rekishi Tenjishitsu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
854584575,node,Tokyo,35.6326401,139.8840822,,,,,,,,,ビッグ サンダー マウンテン,Big Thunder Mountain,ビッグ サンダー マウンテン,,,,attraction,Q859406,en:Big Thunder Mountain Railroad,,,,,https://www.tokyodisneyresort.jp/attraction/detail/str_id:wl_mountain/,,,,,,,,,,,,,Biggu sandā maunten,roller_coaster,yes,Orential Trading Company,http://www.tokyodisneyresort.jp/en/tdl/atrc/western/mountain/index.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
859682628,node,Tokyo,35.6256919,139.8845602,,,,,,,,,プロメテウス火山,Mount Prometheus,プロメテウス火山,,,,attraction,,,,Monte Prometheus,,,,,,,,,,,,,,,,Purometeusu kazan,,,,,Mt. Prometheus,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
859682633,node,Tokyo,35.6253930,139.8830972,,,,,,,,,ポートディスカバリー・ステーション,Port Discovery Station,ポートディスカバリー・ステーション,,,,attraction,Q50437418,,,Port Discovery,,,https://www.tokyodisneyresort.jp/attraction/detail/str_id:pd_railway/,,,,,,,,,,,,,Pōtodisukabarī,,,,http://www.tokyodisneyresort.jp/en/tds/atrc/discovery/railway/index.html,,,station,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
859682692,node,Tokyo,35.6248634,139.8877946,,,,,,,,,アメリカンウォーターフロント・ステーション,American Waterfront,アメリカンウォーターフロント・ステーション,,,,attraction,Q50437130,,,American Waterfront,,,https://www.tokyodisneyresort.jp/attraction/detail/str_id:aw_railway/,,,,,,,,,,,,,,,,,http://www.tokyodisneyresort.jp/en/tds/atrc/waterfront/railway/index.html,,,station,station,Американский вокзал на набережной,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
919282252,node,Tokyo,35.6604300,139.7290554,,,,,,,,,東京シティビュー,Tokyo City View,,Tōkyō shiti byū,Mo-Su 10:00-22:00,,viewpoint,Q126417093,,,,,,,,,,,Tokyo City View,,yes,,,,,,,,,,,,,,,,315480,https://tcv.roppongihills.com/,yes,51,52F,とうきょう シティビュー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
988763541,node,Tokyo,35.6951109,139.7509066,,,,,,,,,昭和館,National Showa Memorial Museum,,,Tu-Su 10:00-17:30,,museum,Q3788883,en:National Showa Memorial Museum,,Museo conmemorativo nacional Showa,Category:National Showa Memorial Museum,,,,,,,,,,,,,,,Shōwakan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1056757093,node,Tokyo,35.6355896,139.6556672,,,,,,,,,向井潤吉アトリエ館,Junkichi Mukai Atelier Museum,,Mukai Junkichi Atoriekan,,,museum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
