osm_id,osm_type,city,lat,lon,name,tourism,wheelchair,name:de,name:en,name:ja_kana,name:ja_rm,KSJ2:ADS,KSJ2:AdminArea,KSJ2:PubFacAdmin,note,note:ja,source,source_ref,wikidata,wikipedia,opening_hours,wikimedia_commons,wikipedia:ja,name:km,addr:block_number,addr:city,addr:neighbourhood,addr:postcode,addr:province,addr:quarter,addr:suburb,fee,name:ja,attraction,amenity,name:ko,level,museum,addr:floor,contact:facebook,contact:instagram,contact:phone,name:ja-Latn,website,name:zh,landuse,official_name,artwork_type,material,operator,playground,playground:theme,check_date,addr:housenumber,addr:street,internet_access,internet_access:fee,payment:cash,payment:credit_cards,payment:debit_cards,payment:qr_code,alt_name,description,smoking,leisure,building,layer,source:ja,building:levels,ele,height,historic,architect,architect:wikidata,operator:type,natural,name:es,phone,barrier,alt_name:en,brand,brand:en,brand:wikidata,operator:wikidata,name:fr,opening_hours:covid19,area,old_name,addr:full,fax,fence_type,advertising,foot,highway,surface,type
1423950759,node,Nagoya,35.1833370,136.9325710,名古屋市蓬左文庫,museum,,,,,,,,,"National-Land Numerical Information (Public Facility) 2006, MLIT Japan",国土数値情報（公共施設データ）平成19年　国土交通省,KSJ2,http://nlftp.mlit.go.jp/ksj/jpgis/datalist/KsjTmplt-P02-v2_0.html,,,,,名古屋市蓬左文庫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1423950782,node,Nagoya,35.1153980,136.8125000,名古屋市農業文化園,zoo,,,,,,春田野2-3204,愛知県名古屋市港区,市区町村,"National-Land Numerical Information (Public Facility) 2006, MLIT Japan",国土数値情報（公共施設データ）平成19年　国土交通省,KSJ2,http://nlftp.mlit.go.jp/ksj/jpgis/datalist/KsjTmplt-P02-v2_0.html,Q11415127,ja:名古屋市農業文化園,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1423951030,node,Nagoya,35.0906642,136.8805282,名古屋海洋博物館・南極観測船ふじ,museum,,,Fuji Antarctic Museum,,,,,,"National-Land Numerical Information (Public Facility) 2006, MLIT Japan",国土数値情報（公共施設データ）平成19年　国土交通省,KSJ2,http://nlftp.mlit.go.jp/ksj/jpgis/datalist/KsjTmplt-P02-v2_0.html,Q11277051,ja:ふじ (砕氷艦),Tu-Su 09:30-17:00,Category:Fuji (AGB 5001),,,,,,,,,,yes,名古屋海洋博物館・南極観測船ふじ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1423951336,node,Nagoya,35.2123360,136.9891200,唐九郎記念館（翠松園陶芸記念館）,museum,,,,,,大字小幡字北山2758-413,愛知県名古屋市守山区,民間,"National-Land Numerical Information (Public Facility) 2006, MLIT Japan",国土数値情報（公共施設データ）平成19年　国土交通省,KSJ2,http://nlftp.mlit.go.jp/ksj/jpgis/datalist/KsjTmplt-P02-v2_0.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1423985718,node,Nagoya,35.1836864,136.9331025,徳川美術館,museum,yes,,Tokugawa Art Museum,,,,,,"National-Land Numerical Information (Public Facility) 2006, MLIT Japan",国土数値情報（公共施設データ）平成19年　国土交通省,KSJ2,http://nlftp.mlit.go.jp/ksj/jpgis/datalist/KsjTmplt-P02-v2_0.html,Q3077236,en:Tokugawa Art Museum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1423987149,node,Nagoya,35.2430440,136.9572550,春日井市立中央公民館内民俗展示室,museum,,,,,,柏原町1-97-1,愛知県春日井市,市区町村,"National-Land Numerical Information (Public Facility) 2006, MLIT Japan",国土数値情報（公共施設データ）平成19年　国土交通省,KSJ2,http://nlftp.mlit.go.jp/ksj/jpgis/datalist/KsjTmplt-P02-v2_0.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1423987178,node,Nagoya,35.2203836,136.9680823,春日井市道風記念館,museum,,,,,,,,,"National-Land Numerical Information (Public Facility) 2006, MLIT Japan",国土数値情報（公共施設データ）平成19年　国土交通省,KSJ2,http://nlftp.mlit.go.jp/ksj/jpgis/datalist/KsjTmplt-P02-v2_0.html,Q11641867,ja:道風記念館,,Category:Kasugai City Tofu Memorial Museum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1423987216,node,Nagoya,35.2414060,136.8397320,春日町中央公民館郷土資料室,museum,,,,,,大字落合字東出8-2,愛知県西春日井郡春日町,市区町村,"National-Land Numerical Information (Public Facility) 2006, MLIT Japan",国土数値情報（公共施設データ）平成19年　国土交通省,KSJ2,http://nlftp.mlit.go.jp/ksj/jpgis/datalist/KsjTmplt-P02-v2_0.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1423988291,node,Nagoya,35.0314760,136.9179350,東海市立平洲記念館・東海市立郷土資料館,museum,,,,,,,,,"National-Land Numerical Information (Public Facility) 2006, MLIT Japan",国土数値情報（公共施設データ）平成19年　国土交通省,KSJ2,http://nlftp.mlit.go.jp/ksj/jpgis/datalist/KsjTmplt-P02-v2_0.html,Q11527877,ja:東海市立平洲記念館,,Category:Heishu Memorial Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1423989216,node,Nagoya,35.1483804,136.9536004,桑山美術館,museum,,,,,,,,,"National-Land Numerical Information (Public Facility) 2006, MLIT Japan",国土数値情報（公共施設データ）平成19年　国土交通省,KSJ2,http://nlftp.mlit.go.jp/ksj/jpgis/datalist/KsjTmplt-P02-v2_0.html,Q11537541,en:Kuwayama Art Museum,,Category:Kuwayama Art Museum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
