city,unified_name,tourism,lat,lon,bf_score,bf_category,wheelchair,toilets_wheelchair,website
Tokyo,楽天ミュージアム,museum,35.6106251,139.6302277,40,部分対応,yes,,
Tokyo,東京アニメセンター,museum,35.6613939,139.7005702,40,部分対応,yes,,
Tokyo,トライアンフギャラリー,gallery,35.6814698,139.771564,40,部分対応,yes,,
Tokyo,早稲田大学會津八一記念博物館,museum,35.708554,139.7203599,40,部分対応,yes,,https://www.waseda.jp/culture/aizu-museum/
Tokyo,東京女子医科大学史料室・吉岡彌生記念室,museum,35.697188,139.72029,40,部分対応,yes,,
Tokyo,teamLab Borderless Museum,museum,35.6616023,139.7412674,40,部分対応,yes,,https://www.teamlab.art/e/tokyo/
Tokyo,HANASAKA STAND,museum,35.6798127,139.7694768,40,部分対応,yes,,https://www.yanmar.com/jp/about/hanasaka/#hanasaka-stand
Tokyo,GINZA SIX ガーデン,viewpoint,35.6697382,139.7637749,40,部分対応,yes,,
Tokyo,丸の内ハウス,viewpoint,35.6824495,139.7646788,40,部分対応,yes,,
Tokyo,東京交通会館コリーヌ,viewpoint,35.674874,139.7639371,40,部分対応,yes,,
Tokyo,コニカミノルタ プラネタリア,attraction,35.6735636,139.7624539,40,部分対応,yes,,https://planetarium.konicaminolta.jp/planetariatokyo/
Tokyo,東京農業大学「食と農」の博物館,museum,35.638983,139.631778,40,部分対応,yes,,https://www.nodai.ac.jp/campus/facilities/syokutonou/
Tokyo,Sky Circus,viewpoint,35.729442,139.7180675,40,部分対応,yes,,
Tokyo,森美術館,museum,35.660432,139.729261,40,部分対応,yes,,https://www.mori.art.museum/jp/index.html
Tokyo,江東区中川船番所資料館,museum,35.6875807,139.8463633,40,部分対応,yes,,
Tokyo,練馬区立美術館,museum,35.7370302,139.6361548,40,部分対応,yes,,
Tokyo,上野の森美術館,museum,35.7128522,139.7747663,40,部分対応,yes,,https://www.ueno-mori.org/
Tokyo,田端文士村記念館,museum,35.738472,139.759259,40,部分対応,yes,,http://www.kitabunka.or.jp/tabata/
Tokyo,山種美術館,museum,35.6531744,139.7136407,40,部分対応,yes,,http://www.yamatane-museum.or.jp
Tokyo,目黒寄生虫館,museum,35.6317,139.706666,35,部分対応,limited,yes,https://www.kiseichu.org/Pages/default.aspx
Tokyo,菊池寛実記念智美術館,museum,35.666041,139.744605,20,未対応,limited,,
Tokyo,野球殿堂博物館,museum,35.7055787,139.7528979,20,未対応,limited,,
Tokyo,かちどき 橋の資料館,museum,35.6630488,139.7736585,20,未対応,limited,,
Tokyo,静嘉堂文庫美術館,museum,35.6787799,139.7614042,20,未対応,limited,,https://www.seikado.or.jp/
Tokyo,NEW ART LAB,gallery,35.6739346,139.770143,20,未対応,limited,,
Tokyo,印刷博物館,museum,35.7091646,139.7414372,20,未対応,limited,,
Tokyo,阿美橫丁,attraction,35.7097123,139.7743577,20,未対応,limited,,
Tokyo,五島美術館,museum,35.612436,139.6353641,20,未対応,limited,,https://www.gotoh-museum.or.jp/
Tokyo,タイトー ゲームセンター,attraction,35.689805,139.7022802,20,未対応,limited,,
Tokyo,荒川ロックゲート,viewpoint,35.6829903,139.8473867,20,未対応,limited,,
Tokyo,五島美術館別館,museum,35.6119856,139.6358686,20,未対応,limited,,
Tokyo,レゴランド・ディスカバリー・センター,theme_park,35.6288171,139.775669,20,未対応,limited,,
Tokyo,江東区芭蕉記念館,museum,35.686129,139.794092,15,未対応,,yes,https://www.kcf.or.jp/basho/
